sample_id,seeker_id,dialogue_id,is_synthetic,dialogue_excerpt,ltp_profile,ltp_history_len,sti_signal,reference_relationship,reference_source,predicted_relationship,relationship_confidence,arbitration_action,w_ltp,w_sti,counterfactual_driver,clarification,target,target_rank,top5,hit@10
21414/7/170059,1034,21414,False,Recommender: Yes great decade for actions! | Seeker: Oh course! :) | Seeker: I really liked True Lies (1994) and Speed  (1994) | Seeker: What do you think?,Drama 0.24; Comedy 0.17; Romance 0.16,50,Action 0.63; Romance 0.13; Thriller 0.13,Complement,weak_rule,Consistent,0.65,Fuse,0.48,0.52,STI-driven,,Die Hard 2 (1990),297,Black Panther (2018); John Wick (2014); The Matrix (1999); Deadpool  (2016); Baby Driver  (2017),False
21394/3/140335,1034,21394,False,Recommender: Hi | Recommender: What kind of movies do you like? | Seeker: Hiya. I like rom-com movies. Can you recommend any?,Drama 0.24; Thriller 0.16; Mystery 0.11,50,Comedy 0.50; Romance 0.50,Consistent,weak_rule,Conflict,0.493,Prioritize_STI,0.33,0.67,Jointly-driven,,Knocked Up (2007),32,Love Actually (2003); Notting Hill; Forrest Gump (1994); Jumanji  (2017); Dear John  (2010),False
20721/8/93013,1009,20721,False,"Seeker: Yes, I loved it | Seeker: I love movies with Will Ferrell too, like Anchorman | Recommender: What about Jumanji  (2017) | Seeker: Oh, I haven't seen Jumanji  (2017) but I did see the older Jumanji (1995) and loved it.",Crime 0.38; Drama 0.38; Film-Noir 0.09,4,Comedy 0.58; Adventure 0.08; Children 0.08,Conflict,weak_rule,Consistent,0.646,Fuse,0.45,0.55,Jointly-driven,,Daddy's Home  (2015),176,Jumanji  (2017); Black Panther (2018); Blended  (2014); Bridesmaids  (2011); Ferdinand (2017),False
22721/3/98740,1087,22721,False,"Recommender: hi there! I would like to reccomend some movies to ya. What kind of movies do you like? | Seeker: I;d like to see some war movies this weekend similar to Dunkirk  (2017) , Darkest Hour  (2017) , Atonement  (2007) | Recommender: Oh okay!",Comedy 0.26; Drama 0.22; Romance 0.13,50,War 0.68; Drama 0.18; Romance 0.06,Override,weak_rule,Override,0.538,Prioritize_STI,0.19,0.81,STI-driven,,Enemy at the Gates (2001),2157,Dunkirk  (2017); Saving Private Ryan (1998); Black Panther (2018); Schindler's List (1993); It  (2017),False
22009/2/98259,1035,22009,False,Recommender: Hello! How are you | Seeker: I'm good!  My brother is coming to visit and I want to queue up some good old fashioned monster movies for him.  Any suggestions?,Comedy 0.28; Horror 0.18; Sci-Fi 0.17,9,(no genre cue),Uncertain,weak_rule,Uncertain,0.936,Ask_Clarification,0.48,0.52,STI-driven,"You usually go for comedy movies. Would you like something similar, or are you in the mood for a change?",Monster  (2003),6182,Black Panther (2018); Wonder Woman  (2017); Jumanji  (2017); The Shape of Water  (2017); Arrival  (2016),False
21866/9/111918,1053,21866,False,"Seeker: I love Blades of Glory (2007) | Recommender: Well, other good movies like that include Talladega Nights: The Ballad of Ricky Bobby (2006) | Seeker: Love Will Ferrell movies | Seeker: So I've seen Ricky Bobby",Action 0.31; Crime 0.19; Comedy 0.15,50,Comedy 0.75; Romance 0.25,Complement,weak_rule,Consistent,0.771,Fuse,0.46,0.54,STI-driven,,Step Brothers  (2008),824,Love Actually (2003); 50 First Dates (2004); Bad Moms (2016); Trainwreck  (2015); Sixteen Candles (1984),False
20191/10/78186,971,20191,False,Seeker: American | Recommender: i could recommend you too American Pie 2 (2001) | Recommender: There are many of those movies | Seeker: Im not sure if i saw american pie 2.,(none: cold seeker),0,Comedy 1.00,Uncertain,weak_rule,Uncertain,0.996,Prioritize_STI,0.19,0.81,STI-driven,,Scary Movie (2000),726,The Hangover (2009); Jumanji  (2017); The Boss Baby (2017); 50 First Dates (2004); Bad Moms (2016),False
23322/9/204870,1084,23322,False,"Recommender: fine | Recommender: Avengers: Infinity War (2018) | Recommender: is good movie | Seeker: I saw it, it's very good",Action 0.20; Thriller 0.15; Adventure 0.14,18,(no genre cue),Uncertain,weak_rule,Uncertain,0.959,Ask_Clarification,0.47,0.53,STI-driven,"You usually go for action movies. Would you like something similar, or are you in the mood for a change?",Deadpool 2  (2018),58,Black Panther (2018); Wonder Woman  (2017); Jumanji  (2017); The Shape of Water  (2017); Thor: Ragnarok (2017),False
syn/con2/21780/13/178715,1034,21780,True,Seeker: That one as well! | Seeker: I saw Lost in Translation  (2003). Great movie! | Recommender: Okay great I haven't seen that one | Seeker: Can you recommend something with singing?,Action 0.16; Comedy 0.13; Sci-Fi 0.13,50,Musical 1.00,Conflict,synthetic_controlled,Conflict,0.852,Prioritize_STI,0.24,0.76,STI-driven,,Dirty Dancing,602,"Love Actually (2003); Mary Poppins  (1964); Crazy, Stupid, Love (2011); Dear John  (2010); Forrest Gump (1994)",False
syn/ove3/20454/10/152496,967,20454,True,"Seeker: Do you think the Reese Witherspoon one called Fear  (1990) ? | Seeker: haha thats great you brought those up! | Seeker: Thank you very much for the recommendations. I might make him watch Clueless  (1995)  too haha | Seeker: Tonight I only want a love story, no horror this time.",Horror 0.36; Comedy 0.23; Thriller 0.21,4,Romance 0.92; Action 0.04; Horror 0.04,Override,synthetic_controlled,Override,0.698,Prioritize_STI,0.16,0.84,Jointly-driven,,50 First Dates (2004),36,Forrest Gump (1994); Frozen (2013); Tangled (2010); The Lion King (1994); Dear John  (2010),False
