sample_id,seeker_id,dialogue_id,split,relationship_label,gold_action,relationship_source,confidence,rationale,is_synthetic,intensity,ltp_signal,sti_signal,original_context,modified_context
415/3/204331,8,415,train,Uncertain,Ask_Clarification,weak_rule,0.9,no STI genre evidence and no usable LTP,False,0,,,Recommender: Hello! | Recommender: What movies do you suggest to watch? | Seeker: Hi! I'm supposed to get suggestions from you for what movies to watch,
415/4/184418,8,415,train,Uncertain,Ask_Clarification,weak_rule,0.9,no STI genre evidence and no usable LTP,False,0,,,Recommender: Hello! | Recommender: What movies do you suggest to watch? | Seeker: Hi! I'm supposed to get suggestions from you for what movies to watch | Recommender: I would suggest watching the movie Girls Trip (2017)  It's funny,
415/10/119144,8,415,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.50; Horror:0.50,"Recommender: I love comedy movies too. | Seeker: I have never seen either, but I have heard of Get Out (2017) . I really wanted to see it | Recommender: I like certain action movies. | Recommender: Yes Get Out (2017)  is a good movie.",
418/5/170119,9,418,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Crime:0.65; Drama:0.18; Comedy:0.08,"Seeker: I like mysterious movies like Donnie Darko (2001) | Seeker: Or movies about drugs and crime like The Wolf of Wall Street  (1929) , or Blow  (2001) | Seeker: whoops, I mean The Wolf of Wall Street  (2013) | Recommender: I haven't seen any of them, but I've heard of them all.",
418/6/196336,9,418,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Crime:0.65; Drama:0.18; Comedy:0.08,"Seeker: Or movies about drugs and crime like The Wolf of Wall Street  (1929) , or Blow  (2001) | Seeker: whoops, I mean The Wolf of Wall Street  (2013) | Recommender: I haven't seen any of them, but I've heard of them all. | Recommender: Have you ever seen The Sixth Sense (1999) ? It's a pretty decent suspenseful movie",
418/11/181097,9,418,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Crime:0.42; Children:0.33; Drama:0.10,"Seeker: Oh, yeah, I haven't seen that since I was a kid. I recently watched The Shining  (1980) though, super spooky | Seeker: Scarface  (1983) is iconic, I've heard, it's on my list, haha | Recommender: It's a definite must see! | Seeker: do you enjoy Quentin Tarantino's works?",
418/12/120349,9,418,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Crime:0.42; Children:0.33; Drama:0.10,"Seeker: Scarface  (1983) is iconic, I've heard, it's on my list, haha | Recommender: It's a definite must see! | Seeker: do you enjoy Quentin Tarantino's works? | Recommender: The Shining  (1980) is a great one too! If you're looking for more good Stephen King movies try Misery  (1990)",
418/13/166069,9,418,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Crime:0.42; Children:0.33; Drama:0.10,"Recommender: It's a definite must see! | Seeker: do you enjoy Quentin Tarantino's works? | Recommender: The Shining  (1980) is a great one too! If you're looking for more good Stephen King movies try Misery  (1990) | Recommender: The original Secret Window (2004) is a good one too. So much better than the newer one, which is also pretty good",
418/13/91332,9,418,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Crime:0.42; Children:0.33; Drama:0.10,"Recommender: It's a definite must see! | Seeker: do you enjoy Quentin Tarantino's works? | Recommender: The Shining  (1980) is a great one too! If you're looking for more good Stephen King movies try Misery  (1990) | Recommender: The original Secret Window (2004) is a good one too. So much better than the newer one, which is also pretty good",
426/3/88487,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Drama:0.50; Romance:0.50,Recommender: Hey! What kind of movies do you like to watch? | Seeker: I'm really big on indie romance and dramas | Recommender: Ok what's your favorite movie?,
