id,hypothesis,criterion,value,threshold,met,note
H1,H1: AIPA (full) beats the best baseline on natural Hit@10,Hit@10 gain vs KBRD-style > 0 and Holm perm p < 0.05,-0.0108,"> 0, p < 0.05",not met,"p_holm=0.0065, n=4472"
H2-strict,H2: AIPA (full) beats the best baseline on natural conflict (strict) Hit@10,gain vs KBRD-style > 0 and Holm perm p < 0.05,-0.0218,"> 0, p < 0.05",not met,"p_holm=0.22, n=331"
H2-broad,H2: AIPA (full) beats the best baseline on natural conflict (broad) Hit@10,gain vs STI-only > 0 and Holm perm p < 0.05,-0.016,"> 0, p < 0.05",not met,"p_holm=0.0065, n=1272"
H3,H3: AIPA (full) beats the best baseline on synthetic conflict Hit@10,gain vs Adaptive fusion > 0 and Holm perm p < 0.05,-0.0177,"> 0, p < 0.05",not met,"p_holm=1, n=226 (synthetic, reported separately)"
REL-macroF1,"Relationship classifier (natural, weak-rule reference)",macro-F1 >= 0.5,0.6271,>= 0.5,met,"reference labels are weak-rule labels, not human labels"
REL-ConflictF1,"Relationship classifier (natural, weak-rule reference)",Conflict-F1 >= 0.5,0.4121,>= 0.5,not met,
ARB-precision,Arbitration: clarification precision (natural),>= 0.5,0.9912,>= 0.5,met,
ARB-unnecessary,Arbitration: unnecessary clarification rate (natural),<= 0.1,0.0017,<= 0.1,met,
ABL-relationship,Ablation: removing relationship hurts natural Hit@10,AIPA (full) - AIPA w/o relationship > 0 and Holm perm p < 0.05,0.0002,"> 0, p < 0.05",not met,p_holm=1
ABL-counterfactual,Ablation: removing counterfactual hurts natural Hit@10,AIPA (full) - AIPA w/o counterfactual > 0 and Holm perm p < 0.05,0.0005,"> 0, p < 0.05",not met,p_holm=1
ABL-clarification,Ablation: removing clarification hurts natural Hit@10,AIPA (full) - AIPA w/o clarification > 0 and Holm perm p < 0.05,-0.0013,"> 0, p < 0.05",not met,p_holm=1
ABL-persistence,Ablation: removing persistence hurts natural Hit@10,AIPA (full) - AIPA w/o persistence > 0 and Holm perm p < 0.05,0.0003,"> 0, p < 0.05",not met,p_holm=1
ABL-persistence-affected,Persistence tracker changes Hit@10 on the instances it affected,"n > 0, gain > 0 and perm p < 0.05",0.0006031882809133994,"n > 0, p < 0.05",not met,"n_affected=2321, shifts/seed=32.4"
